method_id,paper_id
pwc:method/svm,pwc:paper/pac-bayes-bounds-for-stable-algorithms-with
pwc:method/3d-convolution,pwc:paper/deep-spatiotemporal-representation-of-the
pwc:method/average-pooling,pwc:paper/deep-spatiotemporal-representation-of-the
pwc:method/convolution,pwc:paper/deep-spatiotemporal-representation-of-the
pwc:method/convolution,pwc:paper/kid-net-convolution-networks-for-kidney
pwc:method/average-pooling,pwc:paper/modularity-matters-learning-invariant
pwc:method/relu,pwc:paper/modularity-matters-learning-invariant
pwc:method/1x1-convolution,pwc:paper/modularity-matters-learning-invariant
pwc:method/batch-normalization,pwc:paper/modularity-matters-learning-invariant
pwc:method/bottleneck-residual-block,pwc:paper/modularity-matters-learning-invariant
pwc:method/global-average-pooling,pwc:paper/modularity-matters-learning-invariant
pwc:method/residual-block,pwc:paper/modularity-matters-learning-invariant
pwc:method/he-initialization,pwc:paper/modularity-matters-learning-invariant
pwc:method/max-pooling,pwc:paper/modularity-matters-learning-invariant
pwc:method/residual-connection,pwc:paper/modularity-matters-learning-invariant
pwc:method/convolution,pwc:paper/modularity-matters-learning-invariant
pwc:method/resnet,pwc:paper/modularity-matters-learning-invariant
pwc:method/affine-coupling,pwc:paper/closing-the-generalization-gap-of-adaptive
pwc:method/normalizing-flows,pwc:paper/closing-the-generalization-gap-of-adaptive
pwc:method/adam,pwc:paper/closing-the-generalization-gap-of-adaptive
pwc:method/sgd,pwc:paper/closing-the-generalization-gap-of-adaptive
pwc:method/memory-network,pwc:paper/a-memory-network-approach-for-story-based
pwc:method/autoencoder,pwc:paper/surface-networks
pwc:method/convolution,pwc:paper/on-enhancing-speech-emotion-recognition-using
pwc:method/gan,pwc:paper/on-enhancing-speech-emotion-recognition-using
pwc:method/convolution,pwc:paper/banach-wasserstein-gan
pwc:method/wgan,pwc:paper/banach-wasserstein-gan
pwc:method/logistic-regression,pwc:paper/snap-ml-a-hierarchical-framework-for-machine
pwc:method/speed,pwc:paper/ista-net-interpretable-optimization-inspired
pwc:method/sigmoid-activation,pwc:paper/state-gradients-for-rnn-memory-analysis
pwc:method/tanh-activation,pwc:paper/state-gradients-for-rnn-memory-analysis
pwc:method/lstm,pwc:paper/state-gradients-for-rnn-memory-analysis
pwc:method/average-pooling,pwc:paper/sniper-efficient-multi-scale-training
pwc:method/sniper,pwc:paper/sniper-efficient-multi-scale-training
pwc:method/weight-decay,pwc:paper/sniper-efficient-multi-scale-training
pwc:method/softmax,pwc:paper/sniper-efficient-multi-scale-training
pwc:method/roi-pooling,pwc:paper/sniper-efficient-multi-scale-training
pwc:method/faster-r-cnn,pwc:paper/sniper-efficient-multi-scale-training
pwc:method/rpn,pwc:paper/sniper-efficient-multi-scale-training
pwc:method/residual-connection,pwc:paper/sniper-efficient-multi-scale-training
pwc:method/relu,pwc:paper/sniper-efficient-multi-scale-training
pwc:method/1x1-convolution,pwc:paper/sniper-efficient-multi-scale-training
pwc:method/batch-normalization,pwc:paper/sniper-efficient-multi-scale-training
pwc:method/bottleneck-residual-block,pwc:paper/sniper-efficient-multi-scale-training
pwc:method/global-average-pooling,pwc:paper/sniper-efficient-multi-scale-training
pwc:method/residual-block,pwc:paper/sniper-efficient-multi-scale-training
pwc:method/he-initialization,pwc:paper/sniper-efficient-multi-scale-training
pwc:method/max-pooling,pwc:paper/sniper-efficient-multi-scale-training
pwc:method/convolution,pwc:paper/sniper-efficient-multi-scale-training
pwc:method/resnet,pwc:paper/sniper-efficient-multi-scale-training
pwc:method/batch-normalization,pwc:paper/the-information-autoencoding-family-a
pwc:method/residual-connection,pwc:paper/the-information-autoencoding-family-a
pwc:method/patchgan,pwc:paper/the-information-autoencoding-family-a
pwc:method/relu,pwc:paper/the-information-autoencoding-family-a
pwc:method/tanh-activation,pwc:paper/the-information-autoencoding-family-a
pwc:method/residual-block,pwc:paper/the-information-autoencoding-family-a
pwc:method/instance-normalization,pwc:paper/the-information-autoencoding-family-a
pwc:method/convolution,pwc:paper/the-information-autoencoding-family-a
pwc:method/leaky-relu,pwc:paper/the-information-autoencoding-family-a
pwc:method/sigmoid-activation,pwc:paper/the-information-autoencoding-family-a
pwc:method/gan-least-squares-loss,pwc:paper/the-information-autoencoding-family-a
pwc:method/cycle-consistency-loss,pwc:paper/the-information-autoencoding-family-a
pwc:method/cyclegan,pwc:paper/the-information-autoencoding-family-a
pwc:method/highway-networks,pwc:paper/semi-tied-units-for-efficient-gating-in-lstm
pwc:method/sigmoid-activation,pwc:paper/semi-tied-units-for-efficient-gating-in-lstm
pwc:method/tanh-activation,pwc:paper/semi-tied-units-for-efficient-gating-in-lstm
pwc:method/lstm,pwc:paper/semi-tied-units-for-efficient-gating-in-lstm
pwc:method/svm,pwc:paper/an-ensemble-of-transfer-semi-supervised-and
pwc:method/speed,pwc:paper/conditional-affordance-learning-for-driving
pwc:method/carla,pwc:paper/conditional-affordance-learning-for-driving
pwc:method/convolution,pwc:paper/boosted-density-estimation-remastered
pwc:method/gan,pwc:paper/boosted-density-estimation-remastered
pwc:method/sigmoid-activation,pwc:paper/entity-aware-language-model-as-an
pwc:method/tanh-activation,pwc:paper/entity-aware-language-model-as-an
pwc:method/lstm,pwc:paper/entity-aware-language-model-as-an
pwc:method/crf,pwc:paper/video-salient-object-detection-using
pwc:method/batch-normalization,pwc:paper/cross-modality-image-synthesis-from-unpaired
pwc:method/residual-connection,pwc:paper/cross-modality-image-synthesis-from-unpaired
pwc:method/patchgan,pwc:paper/cross-modality-image-synthesis-from-unpaired
pwc:method/relu,pwc:paper/cross-modality-image-synthesis-from-unpaired
pwc:method/tanh-activation,pwc:paper/cross-modality-image-synthesis-from-unpaired
pwc:method/residual-block,pwc:paper/cross-modality-image-synthesis-from-unpaired
pwc:method/instance-normalization,pwc:paper/cross-modality-image-synthesis-from-unpaired
pwc:method/convolution,pwc:paper/cross-modality-image-synthesis-from-unpaired
pwc:method/leaky-relu,pwc:paper/cross-modality-image-synthesis-from-unpaired
pwc:method/sigmoid-activation,pwc:paper/cross-modality-image-synthesis-from-unpaired
pwc:method/gan-least-squares-loss,pwc:paper/cross-modality-image-synthesis-from-unpaired
pwc:method/cycle-consistency-loss,pwc:paper/cross-modality-image-synthesis-from-unpaired
pwc:method/cyclegan,pwc:paper/cross-modality-image-synthesis-from-unpaired
pwc:method/crf,pwc:paper/ncrf-an-open-source-neural-sequence-labeling
pwc:method/speed,pwc:paper/predicting-switching-graph-labelings-with
pwc:method/linear-regression,pwc:paper/subspace-embedding-and-linear-regression-with
pwc:method/svm,pwc:paper/a-novel-hybrid-machine-learning-model-for
pwc:method/pca,pwc:paper/feature-learning-and-classification-in
pwc:method/sigmoid-activation,pwc:paper/multi-variable-lstm-neural-network-for
pwc:method/tanh-activation,pwc:paper/multi-variable-lstm-neural-network-for
pwc:method/lstm,pwc:paper/multi-variable-lstm-neural-network-for
pwc:method/sigmoid-activation,pwc:paper/investigating-generative-adversarial-networks
pwc:method/tanh-activation,pwc:paper/investigating-generative-adversarial-networks
